Day,Class,1A subject,1A teachers,1A room,1B subject,1B teachers,1B room,2A subject,2A teachers,2A room,2B subject,2B teachers,2B room,3A subject,3A teachers,3A room,3B subject,3B teachers,3B room,4A subject,4A teachers,4A room,4B subject,4B teachers,4B room
1,1,ค30101,[17],0,ค30101,[17],0,ค30105,[5],4,ค30105,[5],4,ว30101,[6],13,ว30101,[6],13,ว30143,[23],22,ว30143,[23],22
1,2,ส30101,[9],8,ส30101,[9],8,ค30101,[10],14,ค30101,[10],14,ว30143,[23],14,ว30143,[23],14,ว30121,[49],18,ว30121,[49],18
1,3,ค30102,[1],25,ค30102,[1],25,พ30101,"[22, 50]",6,ว30121,[33],29,ว30131,[46],2,ว30131,[46],2,ว30111,[16],14,ว30111,[16],14
1,4,ค30101,[34],29,,,,ส30101,[9],8,ส30101,[9],8,ว30143,[28],23,ว30143,[28],23,พ30101,"[22, 50]",13,ค30105,[26],28
1,5,ว30143,[28],23,ว30143,[28],23,,,,,,,ค30101,[10],26,ค30101,[10],26,ว30131,[46],3,ว30131,[46],3
1,6,ว30121,[33],9,ว30121,[33],9,ว30143,[7],0,ว30143,[7],0,Eng (B),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",16,Eng (B),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",16,,,,ศ30101,[39],26
1,7,ว30121,[13],21,ว30121,[13],21,,,,,,,Eng (B),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",16,Eng (B),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",16,ค30105,[24],5,ค30105,[24],5
1,8,ว30121,[32],28,ค30101,[27],20,ท30101,[38],13,ท30101,[38],13,Eng (B),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",16,Eng (B),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",16,ว30143,[28],27,ว30143,[28],27
1,9,ส30101,[14],24,ส30101,[14],24,,,,ส30102,[36],27,Eng (B),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",16,Eng (B),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",16,ค30102,[1],19,ค30102,[1],19
1,10,ว30111,[16],26,ว30111,[16],26,ว30121,[32],26,,,,Eng (B),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",16,Eng (B),"[0, 4, 11, 20, 21, 31, 37, 41, 47]",16,ค30102,[44],17,ค30102,[44],17
